U,I
2.99,0.0136
3.0,0.0136
3.0,0.0136
3.0,0.0136
3.01,0.0137
3.01,0.0137
3.01,0.0137
3.02,0.0137
3.02,0.0137
3.02,0.0137
3.03,0.0138
3.03,0.0138
3.03,0.0138
3.04,0.0138
3.04,0.0138
3.04,0.0138
3.05,0.0139
3.05,0.0139
3.05,0.0139
3.05,0.0139
3.06,0.0139
3.06,0.0139
3.06,0.0139
3.07,0.014
3.07,0.014
3.07,0.014
3.08,0.014
3.08,0.014
3.08,0.014
3.09,0.014
3.09,0.014
3.09,0.014
3.1,0.0141
3.1,0.0141
3.1,0.0141
3.11,0.0141
3.11,0.0141
3.11,0.0141
3.12,0.0142
3.12,0.0142
3.12,0.0142
3.13,0.0142
3.13,0.0142
3.13,0.0142
3.14,0.0143
3.14,0.0143
3.14,0.0143
3.15,0.0143
3.15,0.0143
3.15,0.0143
3.15,0.0143
3.16,0.0144
3.16,0.0144
3.16,0.0144
3.17,0.0144
3.17,0.0144
3.17,0.0144
3.18,0.0145
3.18,0.0145
3.18,0.0145
3.19,0.0145
3.19,0.0145
3.19,0.0145
3.2,0.0145
3.2,0.0145
3.2,0.0145
3.21,0.0146
3.21,0.0146
3.21,0.0146
3.22,0.0146
3.22,0.0146
3.22,0.0146
3.23,0.0147
3.23,0.0147
3.23,0.0147
3.24,0.0147
3.24,0.0147
3.24,0.0147
3.25,0.0148
3.25,0.0148
3.25,0.0148
3.25,0.0148
3.26,0.0148
3.26,0.0148
3.26,0.0148
3.27,0.0149
3.27,0.0149
3.27,0.0149
3.28,0.0149
3.28,0.0149
3.28,0.0149
3.29,0.015
3.29,0.015
3.29,0.015
3.3,0.015
3.3,0.015
